RESM_CD(행정동코드(거주지)),M15(남자 15~19세),CHN(중국),PHL(필리핀),MYS(말레이시아),USA(미국)
11110515,9999.999,9999.999,9999.999,9999.999,9999.999
11110615,9999.999,9999.999,9999.999,9999.999,9999.999
11110580,9999.999,9999.999,9999.999,9999.999,9999.999
11380690,9999.999,9999.999,9999.999,9999.999,9999.999
11440565,9999.999,9999.999,9999.999,9999.999,9999.999
11410620,9999.999,9999.999,9999.999,9999.999,9999.999
11440555,9999.999,9999.999,9999.999,9999.999,9999.999
11410565,9999.999,9999.999,9999.999,9999.999,9999.999
11380510,9999.999,9999.999,9999.999,9999.999,9999.999
11110550,9999.999,9999.999,9999.999,9999.999,9999.999
11110560,9999.999,9999.999,9999.999,9999.999,9999.999
11410520,9999.999,9999.999,9999.999,9999.999,9999.999
11380570,9999.999,9999.999,9999.999,9999.999,9999.999
11410615,9999.999,9999.999,9999.999,9999.999,9999.999
11560550,9999.999,9999.999,9999.999,9999.999,9999.999
11110570,9999.999,9999.999,9999.999,9999.999,9999.999
11380551,9999.999,9999.999,9999.999,9999.999,9999.999
11440590,9999.999,,,,
11410585,9999.999,,,,
11380520,9999.999,,,,
11440660,9999.999,,,,
11380530,9999.999,,,,
11290525,9999.999,,,,
11410685,9999.999,,,,
11560535,9999.999,,,,
11140520,9999.999,,,,
11380625,9999.999,,,,
11440730,9999.999,,,,
11170625,9999.999,,,,
11290660,9999.999,,,,
11170630,9999.999,,,,
11380600,9999.999,,,,
11440585,9999.999,,,,
11410660,9999.999,,,,
11380631,9999.999,,,,
11290555,9999.999,,,,
11170685,9999.999,,,,
11290705,9999.999,,,,
11110650,9999.999,,,,
11200645,9999.999,,,,
11650540,9999.999,,,,
11380560,9999.999,,,,
11200570,9999.999,,,,
11590530,9999.999,,,,
11200615,9999.999,,,,
11440740,9999.999,,,,
11560540,9999.999,,,,
11530510,9999.999,,,,
11410720,9999.999,,,,
11500540,9999.999,,,,
11410640,9999.999,,,,
11500603,9999.999,,,,
11470680,9999.999,,,,
11230536,9999.999,,,,
11380580,9999.999,,,,
11290650,9999.999,,,,
11650531,9999.999,,,,
11215810,9999.999,,,,
11470510,9999.999,,,,
11350580,9999.999,,,,
11680610,9999.999,,,,
11305575,9999.999,,,,
11290575,9999.999,,,,
11440720,9999.999,,,,
11500593,9999.999,,,,
11650530,9999.999,,,,
11470550,9999.999,,,,
11230600,9999.999,,,,
11560560,9999.999,,,,
11410690,9999.999,,,,
11350600,9999.999,,,,
11740685,9999.999,,,,
11410700,9999.999,,,,
11170555,9999.999,,,,
11500611,9999.999,,,,
11305590,9999.999,,,,
11560610,9999.999,,,,
11710680,9999.999,,,,
11350695,9999.999,,,,
11590630,9999.999,,,,
11440655,9999.999,,,,
11650651,9999.999,,,,
11680545,9999.999,,,,
11350700,9999.999,,,,
11320681,9999.999,,,,
11680720,9999.999,,,,
11710620,9999.999,,,,
11680656,9999.999,,,,
11290610,9999.999,,,,
11530780,9999.999,,,,
11350595,9999.999,,,,
11680655,9999.999,,,,
11560605,9999.999,,,,
11740550,9999.999,,,,
11560515,9999.999,,,,
11305534,9999.999,,,,
11650581,9999.999,,,,
11380552,9999.999,,,,
11410710,9999.999,,,,
11290630,9999.999,,,,
11680640,9999.999,,,,
11230720,9999.999,,,,
11470640,9999.999,,,,
11200540,9999.999,,,,
11320511,9999.999,,,,
11305545,9999.999,,,,
11500615,9999.999,,,,
11470650,9999.999,,,,
11710670,9999.999,,,,
11200535,9999.999,,,,
11500535,9999.999,,,,
11440600,9999.999,,,,
11200560,9999.999,,,,
11500591,9999.999,,,,
11290620,9999.999,,,,
11500620,9999.999,,,,
11410655,9999.999,,,,
11440710,9999.999,,,,
11410555,9999.999,,,,
11380632,9999.999,,,,
11500510,9999.999,,,,
11230660,9999.999,,,,
11230560,9999.999,,,,
11320514,9999.999,,,,
11350611,9999.999,,,,
11500641,9999.999,,,,
11710562,9999.999,,,,
11530560,9999.999,,,,
11650621,9999.999,,,,
11500590,9999.999,,,,
11620605,9999.999,,,,
11230545,9999.999,,,,
